id,famille_partisane,titulaire-sexe,lda_dominant_topic,lda_dominant_label,bertopic,bertopic_label,lda_topic_0,lda_topic_1,lda_topic_2,lda_topic_3,lda_topic_4,lda_topic_5,lda_topic_6,lda_topic_7,lda_topic_8,lda_topic_9,nmf_topic_0,nmf_topic_1,nmf_topic_2,nmf_topic_3,nmf_topic_4,nmf_topic_5,nmf_topic_6,nmf_topic_7,nmf_topic_8,nmf_topic_9
EL198_L_1993_03_092_01_1_PF_08,Droite parlementaire (RPR/UDF),homme,0,Travail salarié et secteur public,0,franais / rpr / udf,0.8161261969259257,0.0004386565183707971,0.0004386869760378686,0.0004386564169191603,0.0004386840567684959,0.0004386625092978709,0.0004386511074190791,0.0004386318082914966,0.0004386200434315953,0.18036455363753798,0.0,0.0008887044276382667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991112928055107
EL198_L_1993_03_092_01_1_PF_09,Extrême gauche,homme,9,"Nature, faune et chasse",0,franais / rpr / udf,0.0001533908260178761,0.00015338916145789193,0.00015339840174391443,0.0001533937266659409,0.07142451804241644,0.0001533860041873812,0.02319069999848555,0.00015339549003835114,0.00015341265272546535,0.9043110156962612,0.010092884412510333,0.008073428118839104,0.28943662450066754,0.04871733821656089,0.03366186456740544,0.0,0.22556092995745483,0.0,0.384456921873101,0.0
EL198_L_1993_03_092_01_1_PF_10,Non mentionné,femme,9,"Nature, faune et chasse",1,cologie / entente / verts,0.0004902564622040876,0.0004902971487980746,0.06098865798134174,0.0004902614865096995,0.031615810916416395,0.0004902783701804368,0.0004902849442032194,0.0004902532686550084,0.0004902354626237619,0.9039636639590676,0.02418325306502226,0.0,0.6373562247153352,0.0,0.26533440748550824,0.024664970476023847,0.010740405281411021,0.0,0.03772072359378577,0.0
EL198_L_1993_03_092_01_1_PF_11,Non mentionné,homme,9,"Nature, faune et chasse",0,franais / rpr / udf,0.0005181880303697769,0.0005181877945415709,0.000518299644548434,0.0005182038325721591,0.0005182384990255727,0.0005182343115983063,0.0005181985598642646,0.0005182222705340509,0.0005182073741254266,0.9953360196828205,0.0026770201535235762,0.005306134867846037,0.7613813159759631,0.05583518509471079,0.11594031028244478,0.0,0.05886001680361295,0.0,0.0,0.0
EL198_L_1993_03_092_01_1_PF_12,Écologistes,non déterminé,0,Travail salarié et secteur public,1,cologie / entente / verts,0.9961038426935335,0.0004329045025501977,0.00043290952996723377,0.0004329038815687817,0.00043290968908407055,0.0004329045958477615,0.0004329047768548847,0.0004329066267479392,0.00043290647403196797,0.0004329072298136657,0.9981477542502527,0.0,0.0,0.0018522404935297895,0.0,0.0,0.0,0.0,0.0,0.0
EL198_L_1993_03_092_10_1_PF_01,Écologistes,homme,2,Immigration et réduction des impôts,1,cologie / entente / verts,0.0002299056164232586,0.0002299637668245193,0.6733099604773239,0.00022998542933581504,0.005151103724855248,0.00022995405041310591,0.00022993405269119562,0.0002299435397191566,0.00022991196779382911,0.31992933737461987,0.0,0.0,0.05577423650454467,0.0,0.8893190802981242,0.010474983937310717,0.0,0.02124782392525183,0.021481760909616184,0.0017021093955818418
EL198_L_1993_03_092_10_1_PF_02,PCF,homme,4,Écologie et environnement,0,franais / rpr / udf,0.00017794899319798976,0.00017795539512645782,0.00017796598866747496,0.0001779619897207816,0.6749362045185843,0.0029499407271428415,0.00017796256424910207,0.00017795263691178933,0.00017796871349676644,0.32086813847290263,0.0,0.0013558312314878862,0.2585484666645012,0.0015829185538498618,0.0,0.04290534565185149,0.6542009751701731,0.0,0.041406456477039624,0.0
EL198_L_1993_03_092_10_1_PF_03,Droite parlementaire (RPR/UDF),homme,9,"Nature, faune et chasse",0,franais / rpr / udf,0.0016129913271376716,0.0016130153447343138,0.0016130212578746217,0.0016133816184685445,0.001613056200155781,0.0016130775779012291,0.001612938383948313,0.0016129486666170323,0.0016129501051326937,0.9854826195180298,0.0,0.12237971256857354,0.7223759532415048,0.0,0.0,0.0,0.0,0.0,0.0,0.1552443105652198
EL198_L_1993_03_092_10_1_PF_04,Front national,homme,3,Conflit capital-travail et maintien de l emploi,0,franais / rpr / udf,0.00014904447983426136,0.00014907831327362863,0.00014905488570257029,0.7988988655722031,0.00014907105389785254,0.00014910923113790702,0.00434550242245388,0.00014906678758246918,0.004548298243532333,0.19131290901038198,0.003552760641222874,0.8355976116659385,0.06252828182147625,0.020954957533139803,0.0,0.009367081651205242,0.0,0.035160011960052896,0.03283928928441156,0.0
EL198_L_1993_03_092_10_1_PF_05,Gauche gouvernementale (PS/MRG/MDC),femme,9,"Nature, faune et chasse",0,franais / rpr / udf,0.0001748414565393679,0.00017484783188545972,0.0001748575381891226,0.00017484191382562494,0.0001748722410767511,0.00017484392327835692,0.0027391463416545723,0.005643923773160317,0.0001748380823834208,0.9903929868980071,0.0,0.0,0.9089491917568842,0.0,0.024991183354979535,0.01137677847607085,0.0,0.026267819218103543,0.02841501367829552,0.0
EL198_L_1993_03_092_10_1_PF_06,Extrême gauche,non déterminé,8,Positionnement gauche-droite et identité partisane,-1,bruit,0.0001084624552927203,0.00010846243354794259,0.0001084621363129437,0.0001084625742992582,0.00010846575899748274,0.00010846237619212731,0.00010846420230899315,0.00010846197342532627,0.9990238315185384,0.00010846457108491189,0.0,0.0,0.0,0.9999999963072052,0.0,0.0,0.0,0.0,0.0,0.0
EL198_L_1993_03_092_10_1_PF_07,Extrême gauche,non déterminé,6,Discours en langue allemande,-1,bruit,0.00010941205263310565,0.00010941186104188379,0.00010941278556547941,0.00010941232031262575,0.00010941535903768109,0.0001094124891505066,0.9990152817731096,0.0001094129632650581,0.00010941350412571499,0.00010941489175839612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999974226932,0.0
EL198_L_1993_03_092_10_1_PF_08,Autres,homme,9,"Nature, faune et chasse",0,franais / rpr / udf,0.00023479466766472,0.00023480990438430526,0.0002348458010502689,0.00023483106658829875,0.17143913080201303,0.026794523496178606,0.00023481608991587728,0.00023477408624382,0.00023480690414882525,0.8001226671818122,0.03828799267756241,0.03345215831840599,0.3923143474076289,0.06929948210868238,0.02027528081595209,0.07542603334704175,0.15403488141803828,0.014447354891921824,0.20246246020829128,0.0
EL198_L_1993_03_092_10_1_PF_09,Écologistes,homme,9,"Nature, faune et chasse",0,franais / rpr / udf,0.004027528098356294,0.0003058623116965936,0.033586293436126256,0.00030586832569072465,0.022543101140273972,0.0003059192462069183,0.0003058670966073585,0.000305858549877687,0.00030583355256657804,0.9380078682425975,0.007872968618342783,0.016158564674248768,0.6352454410966467,0.0,0.19866932796650516,0.04148383145102416,0.01792234253080453,0.04036255313407947,0.04228495617757943,0.0
